invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,Revenue,Age_Group
I100593,C240318,Male,23,Technology,2,2100,Cash,2021-06-11 00:00:00,Mall of Istanbul,4200,18-25
I100599,C114161,Male,27,Shoes,2,1200.34,Credit Card,2021-11-24 00:00:00,Mall of Istanbul,2400.68,26-35
I100601,C180415,Male,49,Toys,4,143.36,Cash,2022-06-09 00:00:00,Mall of Istanbul,573.44,46-55
I100607,C315778,Male,60,Clothing,5,1500.4,Debit Card,2021-11-27 00:00:00,Kanyon,7502,56+
I100610,C122598,Male,64,Books,5,75.75,Debit Card,2022-04-06 00:00:00,Mall of Istanbul,378.75,56+
I100611,C234086,Male,55,Toys,3,107.52,Cash,2022-03-21 00:00:00,Metropol AVM,322.56,46-55
I100614,C261517,Female,41,Cosmetics,5,203.3,Cash,2021-07-11 00:00:00,Cevahir AVM,1016.5,36-45
I100615,C197426,Female,57,Clothing,5,1500.4,Cash,2022-05-12 00:00:00,Mall of Istanbul,7502,56+
I100617,C745941,Male,56,Books,5,75.75,Cash,2022-07-06 00:00:00,Zorlu Center,378.75,56+
I100618,C911820,Male,23,Books,2,30.3,Credit Card,2021-03-04 00:00:00,Metrocity,60.6,18-25
I100622,C306817,Female,45,Clothing,3,900.24,Credit Card,2023-01-18 00:00:00,Kanyon,2700.72,36-45
I100624,C552809,Female,26,Clothing,5,1500.4,Debit Card,2021-03-05 00:00:00,Metrocity,7502,26-35
I100627,C132581,Male,54,Books,3,45.45,Debit Card,2022-12-10 00:00:00,Metrocity,136.35,46-55
I100628,C135129,Male,25,Clothing,1,300.08,Cash,2022-04-09 00:00:00,Viaport Outlet,300.08,18-25
I100630,C753708,Female,66,Food & Beverage,4,20.92,Debit Card,2022-04-02 00:00:00,Kanyon,83.68,56+
I100634,C461631,Female,22,Clothing,5,1500.4,Cash,2022-05-23 00:00:00,Kanyon,7502,18-25
I100635,C289537,Female,69,Clothing,4,1200.32,Debit Card,2021-06-03 00:00:00,Metropol AVM,4801.28,56+
I100639,C231484,Male,65,Technology,4,4200,Credit Card,2022-05-02 00:00:00,Metrocity,16800,56+
I100651,C180588,Female,41,Cosmetics,2,81.32,Credit Card,2021-09-15 00:00:00,Metropol AVM,162.64,36-45
I100652,C214732,Female,67,Clothing,2,600.16,Credit Card,2023-01-17 00:00:00,Cevahir AVM,1200.32,56+
I100656,C337441,Female,54,Cosmetics,2,81.32,Cash,2023-02-18 00:00:00,Metropol AVM,162.64,46-55
I100659,C562791,Male,27,Souvenir,3,35.19,Cash,2021-07-14 00:00:00,Emaar Square Mall,105.57,26-35
I100663,C322131,Female,41,Food & Beverage,5,26.15,Cash,2021-09-26 00:00:00,Mall of Istanbul,130.75,36-45
I100664,C603641,Male,62,Clothing,2,600.16,Debit Card,2021-10-19 00:00:00,Mall of Istanbul,1200.32,56+
I100666,C996052,Female,62,Books,2,30.3,Cash,2022-04-02 00:00:00,Metrocity,60.6,56+
I100671,C284324,Male,28,Clothing,1,300.08,Cash,2021-05-03 00:00:00,Metrocity,300.08,26-35
I100682,C134970,Male,58,Toys,4,143.36,Cash,2021-03-22 00:00:00,Istinye Park,573.44,56+
I100684,C175424,Male,30,Cosmetics,5,203.3,Credit Card,2021-08-11 00:00:00,Emaar Square Mall,1016.5,26-35
I100685,C263059,Male,60,Souvenir,2,23.46,Debit Card,2021-05-24 00:00:00,Forum Istanbul,46.92,56+
I100691,C116434,Female,35,Clothing,2,600.16,Cash,2022-04-26 00:00:00,Viaport Outlet,1200.32,26-35
I100694,C318405,Female,62,Food & Beverage,4,20.92,Cash,2022-11-27 00:00:00,Kanyon,83.68,56+
I100696,C131827,Male,44,Clothing,2,600.16,Cash,2021-07-12 00:00:00,Metrocity,1200.32,36-45
I100697,C159194,Female,31,Clothing,4,1200.32,Cash,2021-12-19 00:00:00,Kanyon,4801.28,26-35
I100699,C844692,Male,44,Books,1,15.15,Credit Card,2021-03-07 00:00:00,Mall of Istanbul,15.15,36-45
I100700,C831975,Female,60,Clothing,4,1200.32,Credit Card,2021-10-24 00:00:00,Viaport Outlet,4801.28,56+
I100703,C263996,Male,36,Clothing,2,600.16,Cash,2022-08-08 00:00:00,Metrocity,1200.32,36-45
I100704,C864065,Male,24,Technology,2,2100,Debit Card,2021-04-30 00:00:00,Mall of Istanbul,4200,18-25
I100709,C156430,Female,40,Clothing,3,900.24,Debit Card,2021-08-18 00:00:00,Mall of Istanbul,2700.72,36-45
I100719,C193403,Male,69,Toys,2,71.68,Cash,2022-07-17 00:00:00,Zorlu Center,143.36,56+
I100721,C993556,Female,51,Clothing,2,600.16,Debit Card,2022-05-02 00:00:00,Kanyon,1200.32,46-55
I100723,C150582,Female,38,Toys,1,35.84,Debit Card,2021-02-08 00:00:00,Mall of Istanbul,35.84,36-45
I100731,C868764,Female,28,Books,1,15.15,Debit Card,2022-12-29 00:00:00,Emaar Square Mall,15.15,26-35
I100733,C932952,Female,42,Books,1,15.15,Cash,2022-02-28 00:00:00,Kanyon,15.15,36-45
I100735,C107829,Female,44,Souvenir,4,46.92,Debit Card,2022-02-02 00:00:00,Metropol AVM,187.68,36-45
I100738,C155129,Male,20,Clothing,2,600.16,Debit Card,2022-03-31 00:00:00,Kanyon,1200.32,18-25
I100741,C828874,Male,41,Cosmetics,5,203.3,Debit Card,2021-01-05 00:00:00,Cevahir AVM,1016.5,36-45
I100742,C422142,Female,58,Food & Beverage,3,15.69,Credit Card,2022-04-05 00:00:00,Metropol AVM,47.07,56+
I100744,C146601,Female,50,Clothing,4,1200.32,Cash,2022-03-31 00:00:00,Kanyon,4801.28,46-55
I100749,C272878,Female,52,Toys,2,71.68,Cash,2021-03-04 00:00:00,Metrocity,143.36,46-55
I100756,C771102,Male,31,Clothing,1,300.08,Cash,2023-02-17 00:00:00,Mall of Istanbul,300.08,26-35
I100760,C800785,Female,18,Books,4,60.6,Credit Card,2021-01-19 00:00:00,Mall of Istanbul,242.4,<18
I100762,C183883,Female,49,Clothing,1,300.08,Debit Card,2023-01-11 00:00:00,Zorlu Center,300.08,46-55
I100763,C264447,Female,35,Cosmetics,4,162.64,Cash,2022-07-10 00:00:00,Cevahir AVM,650.56,26-35
I100764,C564073,Male,54,Cosmetics,3,121.98,Credit Card,2023-02-07 00:00:00,Istinye Park,365.94,46-55
I100768,C223065,Female,49,Cosmetics,3,121.98,Cash,2022-05-28 00:00:00,Kanyon,365.94,46-55
I100770,C140792,Female,61,Toys,5,179.2,Credit Card,2021-04-10 00:00:00,Metropol AVM,896,56+
I100771,C235228,Female,23,Food & Beverage,3,15.69,Credit Card,2022-03-07 00:00:00,Istinye Park,47.07,18-25
I100775,C981100,Male,23,Cosmetics,5,203.3,Cash,2021-04-02 00:00:00,Metropol AVM,1016.5,18-25
I100777,C303252,Female,38,Toys,3,107.52,Credit Card,2021-10-29 00:00:00,Kanyon,322.56,36-45
I100780,C191396,Female,62,Books,3,45.45,Credit Card,2021-04-06 00:00:00,Mall of Istanbul,136.35,56+
I100782,C582964,Male,55,Food & Beverage,3,15.69,Debit Card,2022-03-11 00:00:00,Zorlu Center,47.07,46-55
I100791,C289735,Female,39,Cosmetics,4,162.64,Cash,2021-10-11 00:00:00,Metropol AVM,650.56,36-45
I100793,C328805,Male,29,Cosmetics,3,121.98,Cash,2021-03-15 00:00:00,Istinye Park,365.94,26-35
I100795,C232822,Male,62,Books,2,30.3,Debit Card,2022-07-06 00:00:00,Kanyon,60.6,56+
I100797,C224221,Male,23,Shoes,4,2400.68,Credit Card,2021-10-17 00:00:00,Metropol AVM,9602.72,18-25
I100803,C273636,Female,38,Books,5,75.75,Cash,2023-02-24 00:00:00,Mall of Istanbul,378.75,36-45
I100812,C208761,Female,66,Clothing,5,1500.4,Credit Card,2022-03-24 00:00:00,Metropol AVM,7502,56+
I100813,C250804,Male,63,Clothing,2,600.16,Cash,2022-03-18 00:00:00,Emaar Square Mall,1200.32,56+
I100814,C130818,Female,38,Books,3,45.45,Credit Card,2022-08-12 00:00:00,Mall of Istanbul,136.35,36-45
I100815,C222582,Male,50,Toys,4,143.36,Cash,2022-04-19 00:00:00,Kanyon,573.44,46-55
I100818,C151068,Female,21,Food & Beverage,3,15.69,Cash,2021-01-08 00:00:00,Mall of Istanbul,47.07,18-25
I100820,C180870,Male,20,Food & Beverage,2,10.46,Cash,2021-12-26 00:00:00,Metrocity,20.92,18-25
I100822,C336505,Male,55,Cosmetics,1,40.66,Cash,2021-11-15 00:00:00,Zorlu Center,40.66,46-55
I100829,C115788,Male,32,Souvenir,5,58.65,Credit Card,2021-07-30 00:00:00,Istinye Park,293.25,26-35
I100835,C259176,Female,43,Clothing,5,1500.4,Debit Card,2022-08-27 00:00:00,Viaport Outlet,7502,36-45
I100837,C827434,Male,65,Clothing,1,300.08,Cash,2023-01-12 00:00:00,Cevahir AVM,300.08,56+
I100842,C143467,Female,45,Food & Beverage,5,26.15,Credit Card,2021-06-08 00:00:00,Forum Istanbul,130.75,36-45
I100843,C170564,Female,54,Clothing,4,1200.32,Debit Card,2022-01-17 00:00:00,Metropol AVM,4801.28,46-55
I100851,C256797,Female,32,Cosmetics,1,40.66,Credit Card,2022-09-10 00:00:00,Istinye Park,40.66,26-35
I100855,C125109,Female,63,Clothing,3,900.24,Credit Card,2021-06-25 00:00:00,Emaar Square Mall,2700.72,56+
I100856,C475330,Male,44,Food & Beverage,3,15.69,Cash,2022-06-09 00:00:00,Metropol AVM,47.07,36-45
I100861,C281937,Female,49,Cosmetics,2,81.32,Cash,2022-12-24 00:00:00,Viaport Outlet,162.64,46-55
I100863,C302400,Male,35,Food & Beverage,2,10.46,Cash,2023-01-04 00:00:00,Emaar Square Mall,20.92,26-35
I100865,C234663,Female,44,Cosmetics,3,121.98,Cash,2022-02-10 00:00:00,Istinye Park,365.94,36-45
I100866,C265260,Female,54,Food & Beverage,3,15.69,Cash,2021-08-16 00:00:00,Metrocity,47.07,46-55
I100870,C236060,Male,46,Books,2,30.3,Cash,2023-03-02 00:00:00,Metrocity,60.6,46-55
I100875,C232349,Female,20,Toys,2,71.68,Cash,2021-09-02 00:00:00,Mall of Istanbul,143.36,18-25
I100880,C217725,Female,39,Shoes,3,1800.51,Cash,2021-01-13 00:00:00,Metropol AVM,5401.53,36-45
I100881,C332806,Male,32,Souvenir,1,11.73,Debit Card,2021-05-06 00:00:00,Kanyon,11.73,26-35
I100884,C729531,Female,37,Souvenir,1,11.73,Cash,2023-02-15 00:00:00,Metrocity,11.73,36-45
I100885,C102033,Male,38,Books,5,75.75,Cash,2021-09-01 00:00:00,Mall of Istanbul,378.75,36-45
I100886,C676444,Female,41,Cosmetics,5,203.3,Cash,2021-12-19 00:00:00,Metrocity,1016.5,36-45
I100897,C402407,Male,61,Shoes,4,2400.68,Credit Card,2022-10-05 00:00:00,Kanyon,9602.72,56+
I100899,C256232,Male,30,Clothing,5,1500.4,Cash,2022-06-23 00:00:00,Kanyon,7502,26-35
I100900,C221280,Male,20,Food & Beverage,5,26.15,Cash,2021-08-22 00:00:00,Viaport Outlet,130.75,18-25
I100901,C178198,Female,41,Clothing,1,300.08,Debit Card,2022-06-17 00:00:00,Kanyon,300.08,36-45
I100903,C702152,Female,21,Clothing,3,900.24,Debit Card,2021-12-20 00:00:00,Metrocity,2700.72,18-25
I100904,C138573,Male,32,Food & Beverage,5,26.15,Debit Card,2022-12-23 00:00:00,Kanyon,130.75,26-35
I100911,C330379,Female,18,Technology,1,1050,Credit Card,2021-08-29 00:00:00,Metrocity,1050,<18
I100913,C229817,Female,41,Shoes,4,2400.68,Cash,2022-08-26 00:00:00,Viaport Outlet,9602.72,36-45
I100914,C299493,Female,22,Food & Beverage,1,5.23,Credit Card,2022-09-17 00:00:00,Kanyon,5.23,18-25
I100919,C189282,Female,31,Cosmetics,1,40.66,Credit Card,2021-05-04 00:00:00,Kanyon,40.66,26-35
I100921,C323178,Female,53,Cosmetics,4,162.64,Credit Card,2021-08-25 00:00:00,Metrocity,650.56,46-55
I100922,C185007,Female,31,Cosmetics,3,121.98,Cash,2021-12-19 00:00:00,Mall of Istanbul,365.94,26-35
I100923,C139812,Female,41,Food & Beverage,1,5.23,Credit Card,2022-04-08 00:00:00,Istinye Park,5.23,36-45
I100929,C224506,Male,59,Cosmetics,1,40.66,Credit Card,2021-02-12 00:00:00,Mall of Istanbul,40.66,56+
I100932,C204475,Male,43,Clothing,2,600.16,Cash,2022-10-28 00:00:00,Mall of Istanbul,1200.32,36-45
I100936,C331442,Female,35,Clothing,1,300.08,Debit Card,2021-06-21 00:00:00,Mall of Istanbul,300.08,26-35
I100953,C250015,Female,46,Shoes,4,2400.68,Cash,2022-02-25 00:00:00,Istinye Park,9602.72,46-55
I100960,C156642,Female,57,Books,3,45.45,Cash,2023-01-31 00:00:00,Kanyon,136.35,56+
I100961,C157517,Female,47,Clothing,2,600.16,Cash,2022-04-27 00:00:00,Forum Istanbul,1200.32,46-55
I100963,C500323,Female,35,Books,1,15.15,Debit Card,2021-06-17 00:00:00,Cevahir AVM,15.15,26-35
I100964,C253827,Male,29,Cosmetics,4,162.64,Cash,2021-07-19 00:00:00,Mall of Istanbul,650.56,26-35
I100965,C336119,Female,63,Shoes,4,2400.68,Cash,2021-06-25 00:00:00,Emaar Square Mall,9602.72,56+
I100969,C242347,Male,51,Clothing,1,300.08,Credit Card,2021-06-09 00:00:00,Istinye Park,300.08,46-55
I100977,C221903,Female,27,Toys,3,107.52,Debit Card,2022-09-05 00:00:00,Metrocity,322.56,26-35
I100978,C172330,Female,24,Cosmetics,5,203.3,Cash,2022-06-18 00:00:00,Metrocity,1016.5,18-25
I100981,C116368,Female,33,Clothing,2,600.16,Credit Card,2023-01-29 00:00:00,Metropol AVM,1200.32,26-35
I100983,C203462,Female,67,Clothing,1,300.08,Credit Card,2022-05-29 00:00:00,Zorlu Center,300.08,56+
I100988,C202289,Male,37,Clothing,2,600.16,Cash,2022-09-27 00:00:00,Istinye Park,1200.32,36-45
I100991,C326660,Male,29,Shoes,5,3000.85,Debit Card,2021-03-07 00:00:00,Metropol AVM,15004.25,26-35
I100998,C253884,Male,24,Toys,3,107.52,Debit Card,2021-09-10 00:00:00,Kanyon,322.56,18-25
I101008,C314812,Male,62,Shoes,3,1800.51,Cash,2022-04-09 00:00:00,Istinye Park,5401.53,56+
I101010,C766878,Female,56,Clothing,2,600.16,Debit Card,2022-03-07 00:00:00,Emaar Square Mall,1200.32,56+
I101017,C124932,Female,40,Shoes,5,3000.85,Cash,2022-07-24 00:00:00,Mall of Istanbul,15004.25,36-45
I101018,C266367,Female,26,Food & Beverage,1,5.23,Debit Card,2022-12-20 00:00:00,Forum Istanbul,5.23,26-35
I101022,C237146,Female,25,Toys,3,107.52,Credit Card,2021-09-21 00:00:00,Kanyon,322.56,18-25
I101031,C215753,Female,52,Cosmetics,4,162.64,Credit Card,2021-11-18 00:00:00,Metropol AVM,650.56,46-55
I101034,C722304,Male,19,Toys,5,179.2,Cash,2022-02-26 00:00:00,Metrocity,896,18-25
I101037,C216533,Female,30,Souvenir,2,23.46,Cash,2021-09-07 00:00:00,Forum Istanbul,46.92,26-35
I101038,C144914,Female,42,Technology,2,2100,Debit Card,2021-07-02 00:00:00,Cevahir AVM,4200,36-45
I101043,C289681,Female,32,Clothing,1,300.08,Credit Card,2022-12-01 00:00:00,Cevahir AVM,300.08,26-35
I101048,C186345,Male,19,Clothing,2,600.16,Cash,2022-09-06 00:00:00,Metrocity,1200.32,18-25
I101051,C722098,Male,59,Shoes,3,1800.51,Credit Card,2021-06-13 00:00:00,Mall of Istanbul,5401.53,56+
I101052,C844541,Male,66,Technology,3,3150,Debit Card,2022-06-25 00:00:00,Kanyon,9450,56+
I101059,C236719,Female,44,Clothing,5,1500.4,Cash,2021-08-25 00:00:00,Mall of Istanbul,7502,36-45
I101060,C131806,Female,54,Clothing,2,600.16,Credit Card,2021-11-16 00:00:00,Metrocity,1200.32,46-55
I101070,C330130,Female,18,Technology,1,1050,Credit Card,2022-04-21 00:00:00,Kanyon,1050,<18
I101083,C165321,Female,57,Clothing,3,900.24,Debit Card,2021-02-04 00:00:00,Kanyon,2700.72,56+
I101084,C943266,Female,26,Food & Beverage,1,5.23,Cash,2022-10-18 00:00:00,Kanyon,5.23,26-35
I101086,C168165,Female,45,Shoes,4,2400.68,Debit Card,2022-02-12 00:00:00,Kanyon,9602.72,36-45
I101088,C824542,Female,28,Toys,5,179.2,Debit Card,2021-01-01 00:00:00,Kanyon,896,26-35
I101089,C392188,Male,39,Clothing,5,1500.4,Credit Card,2021-05-06 00:00:00,Mall of Istanbul,7502,36-45
I101093,C301696,Female,43,Clothing,4,1200.32,Cash,2021-07-05 00:00:00,Mall of Istanbul,4801.28,36-45
I101103,C194266,Female,45,Shoes,4,2400.68,Cash,2021-10-06 00:00:00,Forum Istanbul,9602.72,36-45
I101113,C315161,Female,64,Shoes,3,1800.51,Cash,2021-04-12 00:00:00,Forum Istanbul,5401.53,56+
I101115,C540954,Female,30,Cosmetics,4,162.64,Credit Card,2021-08-01 00:00:00,Metrocity,650.56,26-35
I101130,C298295,Male,45,Food & Beverage,3,15.69,Cash,2022-09-10 00:00:00,Kanyon,47.07,36-45
I101131,C329519,Female,22,Cosmetics,5,203.3,Credit Card,2022-08-22 00:00:00,Metropol AVM,1016.5,18-25
I101133,C270664,Female,63,Clothing,2,600.16,Cash,2022-01-22 00:00:00,Kanyon,1200.32,56+
I101135,C689947,Male,48,Clothing,5,1500.4,Credit Card,2021-01-13 00:00:00,Kanyon,7502,46-55
I101140,C122069,Female,20,Clothing,5,1500.4,Credit Card,2022-07-26 00:00:00,Forum Istanbul,7502,18-25
I101143,C293655,Male,46,Souvenir,5,58.65,Debit Card,2022-02-25 00:00:00,Mall of Istanbul,293.25,46-55
I101146,C303865,Male,26,Food & Beverage,2,10.46,Credit Card,2022-12-25 00:00:00,Viaport Outlet,20.92,26-35
I101148,C680169,Female,26,Cosmetics,4,162.64,Cash,2022-04-21 00:00:00,Cevahir AVM,650.56,26-35
I101152,C276049,Male,30,Clothing,3,900.24,Cash,2021-11-12 00:00:00,Kanyon,2700.72,26-35
I101154,C453116,Male,61,Clothing,4,1200.32,Credit Card,2021-07-05 00:00:00,Metrocity,4801.28,56+
I101155,C114131,Female,58,Clothing,5,1500.4,Cash,2022-06-08 00:00:00,Metropol AVM,7502,56+
I101156,C251408,Female,63,Clothing,2,600.16,Cash,2021-12-07 00:00:00,Zorlu Center,1200.32,56+
I101165,C325003,Female,34,Clothing,1,300.08,Debit Card,2022-08-21 00:00:00,Kanyon,300.08,26-35
I101167,C492992,Female,39,Food & Beverage,5,26.15,Credit Card,2022-01-31 00:00:00,Istinye Park,130.75,36-45
I101171,C786797,Female,64,Clothing,3,900.24,Cash,2021-09-23 00:00:00,Mall of Istanbul,2700.72,56+
I101176,C195529,Female,31,Food & Beverage,1,5.23,Cash,2021-06-17 00:00:00,Istinye Park,5.23,26-35
I101181,C167199,Male,25,Food & Beverage,1,5.23,Cash,2022-12-22 00:00:00,Istinye Park,5.23,18-25
I101183,C274709,Female,41,Cosmetics,1,40.66,Debit Card,2022-03-10 00:00:00,Metropol AVM,40.66,36-45
I101185,C269338,Female,60,Cosmetics,3,121.98,Credit Card,2022-05-20 00:00:00,Istinye Park,365.94,56+
I101189,C301407,Male,68,Souvenir,2,23.46,Cash,2022-05-11 00:00:00,Metrocity,46.92,56+
I101190,C115198,Female,66,Food & Beverage,1,5.23,Credit Card,2021-04-02 00:00:00,Istinye Park,5.23,56+
I101192,C298571,Male,66,Toys,5,179.2,Cash,2021-11-15 00:00:00,Forum Istanbul,896,56+
I101193,C298074,Female,69,Food & Beverage,5,26.15,Credit Card,2021-05-04 00:00:00,Viaport Outlet,130.75,56+
I101201,C296680,Male,51,Cosmetics,2,81.32,Credit Card,2022-06-20 00:00:00,Forum Istanbul,162.64,46-55
I101204,C147656,Female,42,Books,4,60.6,Cash,2022-08-06 00:00:00,Mall of Istanbul,242.4,36-45
I101210,C316485,Female,20,Clothing,5,1500.4,Credit Card,2022-07-04 00:00:00,Zorlu Center,7502,18-25
I101214,C229296,Female,40,Clothing,2,600.16,Credit Card,2021-03-11 00:00:00,Viaport Outlet,1200.32,36-45
I101219,C296170,Female,52,Books,1,15.15,Credit Card,2022-04-30 00:00:00,Kanyon,15.15,46-55
I101220,C322664,Male,67,Souvenir,4,46.92,Cash,2022-10-06 00:00:00,Metropol AVM,187.68,56+
I101229,C256902,Female,19,Food & Beverage,3,15.69,Cash,2022-07-05 00:00:00,Kanyon,47.07,18-25
I101237,C239679,Female,65,Clothing,3,900.24,Credit Card,2021-02-10 00:00:00,Mall of Istanbul,2700.72,56+
I101239,C362001,Female,25,Technology,2,2100,Credit Card,2021-03-14 00:00:00,Metrocity,4200,18-25
I101247,C178321,Male,35,Clothing,3,900.24,Credit Card,2021-02-25 00:00:00,Mall of Istanbul,2700.72,26-35
I101252,C998123,Female,23,Toys,2,71.68,Credit Card,2021-01-21 00:00:00,Forum Istanbul,143.36,18-25
I101255,C164171,Female,66,Food & Beverage,2,10.46,Cash,2021-12-11 00:00:00,Cevahir AVM,20.92,56+
I101256,C129775,Male,50,Clothing,2,600.16,Credit Card,2022-06-26 00:00:00,Mall of Istanbul,1200.32,46-55
I101263,C268120,Male,69,Food & Beverage,4,20.92,Credit Card,2022-12-12 00:00:00,Mall of Istanbul,83.68,56+
I101279,C237894,Female,48,Technology,3,3150,Cash,2022-06-22 00:00:00,Metropol AVM,9450,46-55
I101280,C663744,Female,39,Clothing,2,600.16,Credit Card,2022-03-26 00:00:00,Mall of Istanbul,1200.32,36-45
I101281,C177781,Male,50,Clothing,4,1200.32,Debit Card,2022-03-02 00:00:00,Emaar Square Mall,4801.28,46-55
I101282,C317379,Female,50,Clothing,3,900.24,Cash,2022-06-30 00:00:00,Viaport Outlet,2700.72,46-55
I101283,C294350,Female,48,Food & Beverage,1,5.23,Credit Card,2022-06-19 00:00:00,Metrocity,5.23,46-55
I101288,C476777,Male,36,Food & Beverage,1,5.23,Cash,2022-07-24 00:00:00,Kanyon,5.23,36-45
I101290,C208569,Female,31,Souvenir,4,46.92,Credit Card,2023-02-13 00:00:00,Mall of Istanbul,187.68,26-35
I101296,C132787,Female,41,Cosmetics,2,81.32,Debit Card,2023-01-14 00:00:00,Istinye Park,162.64,36-45
I101301,C211329,Male,39,Food & Beverage,5,26.15,Credit Card,2022-12-12 00:00:00,Kanyon,130.75,36-45
I101305,C131548,Female,66,Toys,3,107.52,Cash,2022-03-07 00:00:00,Forum Istanbul,322.56,56+
I101306,C162468,Female,42,Clothing,3,900.24,Debit Card,2022-05-21 00:00:00,Kanyon,2700.72,36-45
I101308,C551127,Male,18,Shoes,2,1200.34,Credit Card,2021-03-12 00:00:00,Mall of Istanbul,2400.68,<18
I101312,C261678,Male,50,Clothing,5,1500.4,Cash,2021-09-29 00:00:00,Mall of Istanbul,7502,46-55
I101313,C463777,Female,62,Souvenir,1,11.73,Credit Card,2021-02-09 00:00:00,Kanyon,11.73,56+
I101314,C995203,Male,20,Food & Beverage,3,15.69,Cash,2022-05-01 00:00:00,Kanyon,47.07,18-25
I101316,C100544,Female,40,Cosmetics,3,121.98,Debit Card,2022-06-24 00:00:00,Metrocity,365.94,36-45
